Ime,Znamka,Količina,Cena,Originalna cena,Popust,Prednosti
L-teanin z meliso,WeightWorld,180 kapsul,14.49 €,,,"['izvleček melise 5:1', 'aminokislina', 'iz zelenega čaja']"
Veganski kreatin + beta-alanin,ProFuel,300 g,27.99 €,,,"['Creapure® kreatin monohidrat', 'aminokislina', 'pred ali po vadbi']"
"Veganski grahovi proteini – vanilija, črni ribez",AllNutrition,500 g,14.99 €,19.99 €,-25%,"['za mišice', 'brez dodanega sladkorja', 'za proteinski shake ali puding']"
Namaz z belo čokolado & malino,AllNutrition,500 g,12.49 €,,,"['brez dodanega sladkorja', 's koščki mandljev in naribanim kokosom', 'brez palmovega olja']"
VeePro veganska proteinska ploščica – piškot,ProFuel,1 ploščica,2.69 €,,,"['brez glutena', 'kremast okus piškota', 's sladilom stevia glikozid']"
L-arginin + L-ornitin + L-lizin,Vita World,60 kapsul,17.49 €,,,"['ob intenzivnih treningih', '3 aminokisline', 'vitamin C + cink']"
Hladilni sprej,WUNDmed,150 ml,8.49 €,,,"['medicinski pripomoček', 'primerno za športnike', 'hitro delovanje']"
Arthrocann gel - za masažo,Annabis,75 ml,21.99 €,,,"['\u200bza športnike in starejše', 'sklepi in hrbet', 'konopljin gel']"
L-ornitin HCL 500 mg,OnEnergy,120 kapsul,12.99 €,14.99 €,-13%,"['aminokislina', 'za športnike', '500 mg na\xa0 kapsulo']"
Electrovit shot – napitek z elektroliti,ActivLab,80 ml,1.59 €,,,"['podpora hidraciji', 'magnezij, kalij, kalcij, klorid', 'okus jagode']"
L-Teanin FORTE 500 mg,Zein Pharma,90 kapsul,26.49 €,27.49 €,-4%,"['močnejši odmerek', 'naravna podpora', 'izvleček zelenega čaja']"
Kreatin 3000 mg,WeightWorld,90 gumi bonbonov,28.99 €,,,"['z okusom limone', '3000 mg v 3 gumi bonbonih', 'za telesno vzdržljivost']"
L-glutamin + vitamin C,Raab Vitalfood,100 kapsul,11.99 €,,,"['veganska kombinacija', 'več energije', 'manj utrujenosti']"
BIO Mandljevi proteini,Dragon Superfoods,200 g,12.99 €,,,"['dodatek napitkom in jedem', 'visoka vsebnost beljakovin', 'blag oreščkast okus']"
Magnezijev bisglicinat,Mindful Matter,90 kapsul,15.99 €,,,"['delovanje mišic in živčevja', 'proti utrujenosti', 'super absorpcija']"
Magnezij 400 mg,Sanct Bernhard,60 vrečk,14.49 €,16.49 €,-12%,"['za več energije', 'podpora mišicam', 'zaužitje brez tekočine']"
Proteinski Super Mix BIO,Dragon Superfoods,500 g,21.49 €,,,"['70 % rastlinskih beljakovin', 'brez glutena', 'brez dodanega sladkorja']"
L-Tirozin 500 mg,Zein Pharma,120 kapsul,17.49 €,,,"['visoka biološka vrednost', 'aminokislina', 'optimalni odmerek']"
Veganski L-citrulin malat 2:1,ProFuel,500 g,27.99 €,,,"['aminokislina', 'za športnike', 'hitra priprava']"
BIO Riževi proteini,Smart Organic,200 g,6.99 €,,,"['visoka vsebnost beljakovin', 'vir vseh esencialnih aminokislin', 'iz ekološke pridelave']"
3x Kreatin monohidrat 3000 mg,OnEnergy,skupaj 720 kapsul,41.99 €,59.97 €,-30%,"['za fizično aktivne', '3000 mg v 4 kapsulah', 'telesna zmogljivost']"
Konjski balzam - topli,Virde,200 ml,6.99 €,,,"['toplotni učinek', 'prekrvavitev', 'za masažo']"
MCT olje v prahu,Activevital,800 g,34.99 €,,,"['odličen vir energije', 'enostavna uporaba', 'tudi za uporabo v receptih']"
3x Kompleks aminokislin,HealthyWorld®,skupaj 540 tablet,53.99 €,74.97 €,-28%,"['12\xa0aminokislin', 'izgradnja beljakovin', 'optimalni odmerek']"
L-tavrin 1000 mg,WeightWorld,180 kapsul,14.49 €,,,"['aktivna L oblika', 'pogojno esencialna aminokislina', '1000 mg v 2 kapsulah']"
Indijska kopriva – Forskolin 1000 mg,WeightWorld,60 kapsul,19.49 €,19.99 €,-3%,"['izvleček 35:1', 'Coleus forskohlii', '1000 mg v 2 kapsulah']"
iCarnitine – L-karnitin kompleks,Genius Nutrition,90 kapsul,21.99 €,,,"['edinstvena in učinkovita formula', 'z dodanimi vitamini C, B6 in B12', 'L-karnitin + zeleni čaj + malinovi ketoni']"
Veganski MSM + mangan + glukozamin,ProFuel,120 kapsul,33.49 €,,,"['z dodanimi rastlinskimi izvlečki', 'za kosti in sklepe', 'z rastlinskimi izvlečki']"
L-arginin,Nature Love,180 kapsul,20.99 €,,,"['bazični L-arginin', 'naravno pridobljeno', 'aminokislina']"
Liposomski Magnezij+,Ekolife Natura,200 ml,34.99 €,36.99 €,-5%,"['\u200bsuper\xa0biološka razpoložljivost', 'z dodanimi minerali', 's tavrinom']"
HYDRO Energijski gel z elektroliti – limeta,Vitaldin Sport,24 x 55 ml,28.99 €,,,"['hiter vir energije', 'z minerali in \xa0vitaminom B6', 'enostavno uživanje brez vode']"
Magnezij v kapljicah,Zechsal,100 ml,29.99 €,,,"['primeren tudi za otroke', 'energija, mišice in živčni sistem', 'večje pakiranje']"
"Flex podpora sklepom, okus pomaranča",AllNutrition,400 g,25.49 €,,,"['hidroliziran kolagen', '7 aktivnih učinkovin', 'zadostuje za 20 napitkov']"
"Grahovi proteini, okus vanilije",Intenson,600 g,17.99 €,,,"['za 20 porcij', 'lahko prebavljivi', 's sladilom']"
Energijski gel brez kofeina – jagoda & banana,Vitaldin Sport,24 x 40 g,23.99 €,,,"['25 g OH na 1 vrečko', 'za hitro in dolgotrajno\xa0energijo', 'z vitaminom B6']"
Veganski kalcij + magnezij,ProFuel,180 kapsul,16.99 €,,,"['odlična kombinacija', 'za mišice in kosti', 'visoki odmerki']"
Proteini v prahu - izvleček,Sanct Bernhard,350 g,24.99 €,,,"['vir beljakovin', 'visoka biološka vrednost', 'nevtralen okus']"
Beta-alanin v prahu,OnEnergy,500 g,14.99 €,19.99 €,-25%,"['za pripravo napitka', 'nevtralnega okusa', 'visoka koncentracija']"
3x Krom Active,FutuNatura,skupaj 90 kapsul,23.99 €,26.97 €,-11%,"['veliko pakiranje', 'normalni krvni sladkor', 'pri utrujenosti in izčrpanosti']"
L-karnitin 500 mg,QNT,60 kapsul,11.99 €,22.99 €,-48%,"['super izbira za športnike', '500 mg L-karnitina v 1 kapsuli', 'odlična absorpcija']"
3x Liposomski NAD+ 500 mg – s trimetilglicinom,OnEnergy,skupaj 180 kapsul,65.99 €,74.97 €,-12%,"['nikotinamid adenin dinukleotid', 'vsestranski koencim', 'boljši izkoristek']"
Zeleni čaj 600 mg – izvleček,OnEnergy,120 kapsul,14.99 €,19.99 €,-25%,"['600 mg v 2 kapsulah', 'z izvlečkom zelene kave', 'vsebuje kofein']"
Whey proteini iz sirotke – vanilja,OnEnergy,1000 g,28.99 €,32.99 €,-12%,"['osnovni gradniki mišic', 'samo 114 kcal na porcijo', 'visoka vsebnost beljakovin']"
HGH Night – Natural HGH Booster,OnEnergy,60 kapsul,9.99 €,14.99 €,-33%,"['ustvarjeno za športnike', 'GABA + arginin + lizin', 'super izkoristek']"
3x Magnezijev bisglicinat 300 mg,OnEnergy,skupaj 540 kapsul,41.99 €,59.97 €,-30%,"['manj utrujenosti + mišice + živčevje', 'visoka biološka razpoložljivost', '300 mg magnezija v 3 kapsulah']"
Quick FatBurn,Purely Nutrition,120 kapsul,14.99 €,19.99 €,-25%,"['cink +garcinia cambogia', 'uravnavanje telesne teže', 'zaviranje apetita']"
3x Xplode – šumeče tablete,FutuNatura,skupaj 30 šumečih tablet,5.39 €,8.97 €,-40%,"['s kofeinom in tavrinom', 'več energije, psihološko delovanje, živčevje', 'z okusom tutti frutti']"
Thermo Booster – brusnica/limona,QNT,700 ml,1.99 €,,,"['s kofeinom in gvarano', 'za športnike in aktivne', '0 kcal in brez sladkorja']"
Hialuronska kislina 600 mg,WeightWorld,120 kapsul,21.99 €,24.99 €,-12%,"['optimalna molekulska masa', 'brez GMO, glutena', 'natrijev hialuronat']"
Magnezijev klorid v prahu,FutuNatura,1000 g,12.99 €,14.99 €,-13%,"['različni načini uporabe', 'dobro topen v vodi', 'MgCl2+ 6H2O']"
Kolagen Flex – prah za napitek,FutuNatura,"231,80 g",19.99 €,21.99 €,-9%,"['kolagen tipa II', 'izjemna kombinacija sestavin', 's sladilom steviol glikozidi']"
Tavrin 1000 mg,OnEnergy,180 kapsul,12.99 €,18.99 €,-32%,"['esencialna aminokislina', '1000 mg v 2 kapsulah', 'za pred in po vadbi']"
3x Elektroliti – prah za pripravo napitka,FutuNatura,skupaj 60 vrečk,20.99 €,29.97 €,-30%,"['5 mineralov\xa0+ B6', 'podpora hidracije', 'okus limone in limete']"
Magnezijev oksid 400 mg,HealthyWorld®,365 kapsul,19.99 €,24.99 €,-20%,"['za mišice in živčni sistem', 'proti utrujenosti', '400 mg na 1 kapsulo']"
BIO Črna maca v prahu,FutuNatura,500 g,18.99 €,21.99 €,-14%,"['naravna spolnost', 'optimalna vzdržljivost', 'vitalnost']"
VeePro veganska proteinska ploščica – brownie,ProFuel,1 ploščica,2.69 €,,,"['brez glutena', 'odličen okus browniejev', 's sladilom stevia glikozid']"
UC-II® kolagen,Sanct Bernhard,60 kapsul,29.99 €,,,"['biološko aktivna oblika', 'naraven\xa0kolagen tipa II', 'hrustanec']"
Magnezijev citrat  440 mg,WeightWorld,240 kapsul,20.99 €,23.49 €,-11%,"['proti utrujenosti', '440 mg magnezija v 2 kapsulah', 'za delovanje mišic in živčnega sistema']"
Magnezij + vitamin B6 – šumeče tablete,Purely Nutrition,20 šumečih tablet,1.99 €,2.49 €,-20%,"['z dodanim vitaminom B6', 'podpora mišic in živčnega sistema', 'hitra in enostavna priprava']"
Glukozamin + Mangan 500 mg,FutuNatura,90 kapsul,11.99 €,16.49 €,-27%,"['optimalni odmerek', 'za vezivno tkivo in kosti', 'glukozamin iz rastlinskega vira']"
Zeleni čaj,AllNutrition,90 kapsul,17.99 €,,,"['Camellia sinensis', '500 mg polifenolov na 1 kapsulo', 'za 3 mesece uporabe']"
Pump Pre-workout,QNT,300 g,14.99 €,27.99 €,-46%,"['kreatin + beta-alanin + AAKG', 'z okusom rdečega sadja', 'brez kofeina']"
Mazilo za sklepe,Sanct Bernhard,100 ml,10.99 €,,,"['aromatičen vonj', 'sproščujoč učinek', 'pospešuje prekrvitev kože']"
3x L-glutamin – prah za pripravo napitka,OnEnergy,skupaj 1500 g,41.99 €,59.97 €,-30%,"['aminokislina', 'za fizično aktivne', 'za po treningu']"
"Kineziološki trak - roza, 5cm x 5m",WUNDmed,1 kos,8.49 €,,,"['vrhunska kvaliteta', 'koži prijazen', 'za športnike']"
BIO Riževe beljakovine,Raab Vitalfood,400 g,17.99 €,,,"['visoka vsebnost beljakovin', 'nevtralen okus', 'primerno za vegane']"
iBURN – izgorevanje maščob,Genius Nutrition,90 kapsul,21.99 €,,,"['vsebuje brezvodni kofein', 's številnimi rastlinskimi izvlečki', 'izjemna formula za želene rezutate']"
Alfa lipoična kislina 300 mg,Zein Pharma,90 kapsul,34.49 €,,,"['primerno za športnike', 'iz naravnih virov', 'vrhunska kakovost']"
3x L-karnitin 1000 mg,OnEnergy,skupaj 540 kapsul,53.99 €,74.97 €,-28%,"['za aktivne osebe', 'visoka vsebnost', '1000 mg na 2 kapsuli']"
Glutamin,AllNutrition,250 g,13.49 €,,,"['za pripravo napitka', 'za športnike', 's tavrinom']"
Glukozamin + vitamin C,Raab Vitalfood,90 kapsul,11.99 €,,,"['glukozamin sulfat', 'nastajanje kolagena', 'kosti in hrustanec']"
Magnezijev gel za telo,Zechsal,125 ml,15.49 €,,,"['30 % magnezijevega klorida', 'izboljšuje strukturo kože', 'za nego in masažo']"
Energijski gel – limona,ActivLab,40 g,1.59 €,,,"['hiter in učinkovit vir energije', 'z vitaminom C', 'enostavna uporaba']"
Magnezijev športni gel z MSM,Zechsal,100 ml,16.49 €,,,"['vsebuje\xa0MSM', 'učinkuje takoj', 'vrhunska kvaliteta']"
Night Burner,QNT,90 kapsul,22.99 €,,,"['s holinom in kromom', 'aktivira presnovo maščob', 'podpira delovanje jeter']"
3x L-arginin + L-citrulin kompleks 3000 mg,OnEnergy,skupaj 750 kapsul,53.99 €,74.97 €,-28%,"['2 aminokislini', 'optimalno razmerje', '3000 mg v 5 kapsulah']"
V-Protein 8K veganski proteini – limonin cheesecake,ProFuel,750 g,22.49 €,,,"['mešanica 8 rastlinskih proteinov', 'visoka vsebnost beljakovin', 'brez\xa0laktoze']"
Gainer Delicious – jagoda,AllNutrition,1000 g,17.99 €,,,"['povečanje mišične mase', 'sirotkini proteini', 'pred ali po vadbi']"
"BIO murva, posušeni plodovi",Sanct Bernhard,500 g,21.99 €,,,"['bela murva', 'sladka dobrota', '100 % naravno']"
3x Quick FatBurn,Purely Nutrition,skupaj 360 kapsul,38.99 €,59.97 €,-35%,"['cink +garcinia cambogia', 'uravnavanje telesne teže', 'zaviranje apetita']"
Energijski gel – limona,ActivLab,40 g,1.59 €,,,"['hiter in učinkovit vir energije', 'z vitaminom C', 'enostavna uporaba']"
Magnezijev športni gel z MSM,Zechsal,100 ml,16.49 €,,,"['vsebuje\xa0MSM', 'učinkuje takoj', 'vrhunska kvaliteta']"
Night Burner,QNT,90 kapsul,22.99 €,,,"['s holinom in kromom', 'aktivira presnovo maščob', 'podpira delovanje jeter']"
3x Glukozamin + hondroitin 1400 mg,OnEnergy,skupaj 1080 kapsul,68.99 €,89.97 €,-23%,"['z vitaminom C', 'za nastajanje kolagena', 'vezivno tkivo in hrustanec']"
3x Quick FatBurn,Purely Nutrition,skupaj 360 kapsul,38.99 €,59.97 €,-35%,"['cink +garcinia cambogia', 'uravnavanje telesne teže', 'zaviranje apetita']"
Veganski Complete EAA – zeleno jabolko,ProFuel,500 g,33.49 €,,,"['za pred, med in po treningu', 's sladilom sukraloza', 'vseh 9 esencialnih aminokislin']"
Konopljini proteini BIO,Sanct Bernhard,750 g,20.99 €,21.99 €,-5%,"['\u200bvisoka vsebnost beljakovin', 'iz ekološke pridelave', 'popestritev prehrane']"
Magnezij + kininovec,Fleurance Nature,30 tablet,17.99 €,,,"['odlična kombinacija', 'z vitamini in minerali', 'podpora mišicam']"
AAKG 4000 mg,QNT,100 tablet,10.99 €,20.99 €,-48%,"['L-arginin alfa-ketoglutarat', '1000 mg na tableto', 'za pred treningom']"
Bučni proteini - BIO,Allgäuer,500 g,11.99 €,,,"['100% rastlinski izvor', 'lahko jih jeste samostojno', 'za peko ali napitke']"
BIO Bučni proteini,Dragon Superfoods,200 g,5.99 €,,,"['visoka vsebnost beljakovin', 'vsestranska uporaba', 'ekološka pridelava']"
Riptek – fat burner,QNT,120 kapsul,20.99 €,39.99 €,-48%,"['vsebuje kofein', 'z izvlečkom zelenega čaja', 'uravnavanje telesne teže']"
L-glutamin 2000 mg,NewFood,90 tablet,20.99 €,,,"['aminokislina', '2000 mg v priporočenem odmerku', 'za fizično aktivne']"
Mandljevi proteini BIO,Sanct Bernhard,750 g,32.99 €,,,"['\u200bvisoka vsebnost beljakovin', 'fino mleti mandlji', 'iz ekološke pridelave']"
BIO Roobar proteinska ploščica – lešnik & čokolada,Smart Organic,40 g,1.99 €,,,"['veganska', 'brez glutena', 'rastlinske beljakovine']"
Magnezijevi kristali za kopel,Zechsal,4000 g,30.99 €,,,"['za sproščujočo kopel', 'veliko pakiranje', 'dobra topnost v vodi']"
Magnezijevo olje,Zechsal,500 ml,32.99 €,,,"['hitra absorpcija', 'učinkovito delovanje', 'lahko se uporabi v razpršilu']"
V-Protein 4K veganski proteini – čokoladno mleko,ProFuel,750 g,22.49 €,,,"['mešanica 4 rastlinskih proteinov', 'visoka vsebnost beljakovin', 'brez laktoze']"
Arašidov namaz - gladek,AllNutrition,1000 g,9.99 €,10.99 €,-9%,"['popolnoma gladko', 'odličnega okusa', '100 % arašidi']"
Tavrin,Herbafit,180 kapsul,15.49 €,17.99 €,-14%,"['visoka stopnja absorpcije', 'zmanjševanje utrujenosti', 'z vitaminom B2']"
Trimagnezij + kalij,AllNutrition,100 kapsul,10.49 €,11.99 €,-13%,"['srce', 'vitamin B6', 'živčni sistem']"
Xplode – šumeče tablete,FutuNatura,10 šumečih tablet,1.99 €,2.99 €,-33%,"['s kofeinom in tavrinom', 'več energije, psihološko delovanje, živčevje', 'z okusom tutti frutti']"
Arthrocann Kolagen,Annabis,60 tablet,27.49 €,,,"['edinstven naravni kompleks', 'vitamini\xa0C, D3 in B12', 'krepitev']"
DMSO + magnezijevo olje s pipeto,Heiltropfen,100 ml,17.99 €,,,"['priložena pipeta', 'originalni recept dr. Fischer', '40% magnezijevega olja']"
Magnezij Forte + B kompleks,FutuNatura,30 tablet,9.99 €,10.99 €,-9%,"['več energije', 'za živčni sistem', '4 vitamini B kompleksa']"
3x Elektroliti – prah za pripravo napitka,OnEnergy,skupaj 60 vrečk,20.99 €,29.97 €,-30%,"['podpora hidracije', 'minerali + vitamin B6', 'okus limone in limete']"
Cink + magnezij + B6,AllNutrition,20 šumečih tablet,3.49 €,,,"['za učinkovit napitek', 'okus: limona', 'proti utrujenosti']"
Črni ingver – izvleček,HealthyWorld®,120 kapsul,19.99 €,22.99 €,-13%,"['Kaempferia parviflora', '100 mg ingverja v 1 kapsuli', 'priljubljen med športniki, pari ...']"
Novozelandska zelenousta školjka,Sanct Bernhard,150 kapsul,16.49 €,17.99 €,-8%,"['500 mg čistega koncentrata', 'naravni glukozaminoglikan', 'izvleček zelenouste školjke']"
Magnezij kompleks 400 mg,Purely Nutrition,180 kapsul,16.99 €,22.99 €,-26%,"['4 aktivne oblike magnezija', 'za več energije in podporo delovanja mišic', '400 mg magnezija v 2 kapsulah']"
Anabolic Amino – kompleks anabolnih aminokislin,OnEnergy,300 tablet,19.99 €,24.99 €,-20%,"['tablete z jagodnim okusom', '19 anabolnih aminokislin', 'za vse fizično aktivne']"
L-glicin 1000 mg,Vita World,120 kapsul,21.99 €,,,"['visoka vsebnost', 'aminokislina', 'gradnik beljakovin']"
Magnezijevo olje v spreju,NatVita,250 ml,9.99 €,12.49 €,-20%,"['33 % magnezijevega klorida', 'enostavna uporaba', 'hitra absorpcija']"
Balzam z zelenousto školjko,Sanct Bernhard,150 ml,10.99 €,,,"['poživitev', 'hladilno-grelni učinek', 'mehka in voljna koža']"
L-Tirozin 500 mg,OnEnergy,365 kapsul,19.99 €,24.99 €,-20%,"['aminokislina', 'z vitaminoma B3 + B12', 'energija, živčevje, psihološko delovanje']"
Kromov pikolinat 200 µg,Sanct Bernhard,250 tablet,10.99 €,12.49 €,-12%,"['dobra absorpcija', 'vegansko', 'boljša presnova']"
Magnezij – za mišice,ActivLab,60 kapsul,3.99 €,,,"['magnezijev karbonat', 'za normalno delovanje mišic', 'z dodatkom kalija in vitamina B6']"
L-arginin HCL 4500 mg,OnEnergy,365 kapsul,19.99 €,24.99 €,-20%,"['aminokislina', '4500 mg v 6 kapsulah', 'odlična absorpcija']"
L-Citrulin 2400 mg,OnEnergy,180 kapsul,16.99 €,19.99 €,-15%,"['aminokislina za aktivne', 'nastajanje dušikovega oskida', '2400 mg v 4 kapsulah']"
3x Shilajit Mumie 600 mg – smola,HealthyWorld®,skupaj 90 g,53.99 €,74.97 €,-28%,"['ajurvedska smola', '600 mg na odmerek', '50 % fulvične kisline']"
3x Krom Active,FutuNatura,skupaj 90 kapsul,23.99 €,26.97 €,-11%,"['veliko pakiranje', 'normalni krvni sladkor', 'pri utrujenosti in izčrpanosti']"
L-karnitin 500 mg,QNT,60 kapsul,11.99 €,22.99 €,-48%,"['super izbira za športnike', '500 mg L-karnitina v 1 kapsuli', 'odlična absorpcija']"
Kreatin,AllNutrition,500 g,27.49 €,,,"['za fizično aktivne', 'nevtralnega okusa', 'telesna zmogljivost']"
"Izotonični energijski napitek, breskev-marakuja",Sanct Bernhard,900 g,23.99 €,26.99 €,-11%,"['izotonični energijski napitek', 'ne vsebuje laktoze in glutena', 'za 12,5 litrov napitka']"
Beta-alanin v prahu,OnEnergy,500 g,14.99 €,19.99 €,-25%,"['za pripravo napitka', 'nevtralnega okusa', 'visoka koncentracija']"
R-alfa lipoična kislina R-ALA,AllNutrition,90 kapsul,27.49 €,,,"['biološko aktivna oblika', 'R-lipojska kislina', 'odlično za atlete in športnike']"
GABA - 500 mg,Zein Pharma,90 kapsul,27.49 €,29.49 €,-7%,"['vrhunska kakovost', 'gama-aminobutanojska kislina', 'zaviralni nevrotrasmiter']"
BCAA v prahu – limona,QNT,350 g,11.99 €,29.99 €,-60%,"['esencialne aminokisline', 'za športno aktivne', 'super razmerje 2:1:1']"
NAC 150 mg,AllNutrition,90 tablet,10.99 €,,,"['predstopnja glutationa', 'N-acetil cistein', 'za aktivne']"
L-arginin 750 mg,Vita World,100 kapsul,15.49 €,,,"['v bazični obliki', 'aminokilsina', 'brez dodatkov']"
Navadna zobačica,ALIVER Nutraceutics,120 kapsul,24.49 €,,,"['90 % saponinov', 'krepitev spolne želje', 'podpora spolnosti']"
Veganski Complete EAA – limona in limeta,ProFuel,500 g,33.49 €,,,"['kar 12.500 mg EAA', 's sladilom sukraloza', 'vseh 9 esencialnih aminokislin']"
ALL Vitamini in minerali,AllNutrition,120 kapsul,16.49 €,17.99 €,-8%,"['22 vitaminov in mineralov', 'celostna podpora telesa', 'za športno aktivne']"
Arašidov namaz – s koščki,AllNutrition,1000 g,9.99 €,10.99 €,-9%,"['s koščki arašidov', 'kot namaz ali dodatek jedem', '100 % arašidi']"
Sojini proteini – češnja in jogurt,AllNutrition,500 g,14.99 €,17.99 €,-17%,"['za mišice', 'brez dodanega sladkorja', 'za okusen proteinski shake']"
Crunch namaz z arašidi,AllNutrition,500 g,12.49 €,,,"['praženi arašidi', 's kakavom', 's sladilom']"
Energijski gel s kofeinom – jagodičevje,Vitaldin Sport,24 x 40 g,23.99 €,,,"['25 g OH na 1 vrečko', 'za hitro in dolgotrajno\xa0energijo', 'z vitaminom B6']"
3x Veganski izolat sojinih beljakovin – čokolada,OnEnergy,skupaj 3000 g,53.99 €,74.97 €,-28%,"['povečanje mišične mase', '105\xa0kcal in 0 g sladkorjev', 'visoka vsebnost beljakovin']"
"Opornica za komolec, velikost M",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo komolcu', 'pralna']"
3x L-arginin HCL 4500 mg,HealthyWorld®,skupaj 1095 kapsul,53.99 €,68.97 €,-22%,"['aminokislina', '4500 mg v 6 kapsulah', 'biološko aktivna oblika']"
"Športni bandažni trak, 8m x 2.5cm",WUNDmed,1 kos,3.99 €,,,"['medicinski \xa0pripomoček', 'za podporo in stabilnost sklepov', 'na voljo v\xa04 različnih barvah']"
HMB 2150 mg – prah za pripravo napitka,OnEnergy,200 g,19.99 €,24.99 €,-20%,"['za športnike', 'z vitaminom B6', 'nevtralnega okusa']"
3x Quick FatBurn,OnEnergy,skupaj 360 kapsul,41.99 €,59.97 €,-30%,"['uravnavanje telesne teže', 'presnova maščobnih kislin', '6 aktivnih sestavin']"
3x NightTime FatBurn,Purely Nutrition,skupaj 360 kapsul,38.99 €,59.97 €,-35%,"['5 aktivnih sestavin', 'Neopuntia™, L-karnitin in baldrijan', 'podpora energijskemu metabolizmu']"
Isoactive izotonični napitek – limona,ActivLab,"20 x 31,5 g",8.99 €,,,"['vrečke s prahom za pripravo napitka', 'z izvlečkom zelenega čaja', 'za fizično aktivne']"
Veganski L-citrulin malat 2:1,ProFuel,500 g,27.99 €,,,"['aminokislina', 'za športnike', 'hitra priprava']"
"Grahovi proteini, okus čokolade",Intenson,600 g,17.99 €,,,"['za 20 porcij', 'lahko prebavljivi', 's sladilom']"
Kolebnica,OnEnergy,1 kos,2.99 €,,,"['odličen pripomoček za športnike', 'trpežen material', 'praktična dolžina']"
"EAA  v prahu – ananas, limona, pomaranča",OnEnergy,500 g,24.99 €,29.99 €,-17%,"['7 esencialnih aminokislin', 'prah za pripravo napitka', 's priloženo merilno žličko']"
Magnezij + ašvaganda + vitamin B6,AllNutrition,100 kapsul,19.99 €,,,"['proti utrujenosti', 'živčni sistem + psihološko delovanje', 'z izvlečkom ašvagande']"
Magnezijev citrat v prahu,MyVita,250 g,16.49 €,,,"['visoka absorpcija', 'za več kot 3 mesece', 'organska oblika']"
"Shaker - 600 ml, roza",AllNutrition,1 kos,3.99 €,,,"['odličen za športnike', 'praktičen za uporabo', 'barve ni mogoče izbirati\xa0(barva na fotografiji je simbolična)']"
3x Glukozamin + hondroitin,HealthyWorld®,skupaj 540 kapsul,53.99 €,68.97 €,-22%,"['z vitaminom C', 'za nastajanje kolagena', 'vezivno tkivo in hrustanec']"
L-karnitin,AllNutrition,120 kapsul,20.99 €,,,"['z dodanim vitaminom C', 'za športnike', '530 mg na 1 kapsulo']"
Vitamini in minerali,QNT,60 kapsul,8.99 €,15.99 €,-44%,"['za športno aktivne in ostale', 'imunski sistem + energija', '18 vitaminov in mineralov']"
"Opornica za koleno, velikost L",WUNDmed,1 kos,5.49 €,,,"['medicinski pripomoček', 'zagotavlja podporo kolenu', 'pralna']"
3x Kreatin monohidrat 3000 mg,HealthyWorld®,skupaj 540 tablet,41.99 €,59.97 €,-30%,"['3000 mg v 3 tabletah', 'telesna zmogljivost', 'več energije']"
Isoactive izotonični napitek – pomaranča,ActivLab,"20 x 31,5 g",8.99 €,,,"['vrečke s prahom za pripravo napitka', 'z izvlečkom guarane', 'za fizično aktivne']"
Vitamini in minerali VITAMINALL,AllNutrition,20 šumečih tablet,3.99 €,,,"['za učinkovit napitek', 'okus: pomaranča', '22 vitaminov in mineralov']"
"Kineziološki trak - moder, 5cm x 5m",WUNDmed,1 kos,7.49 €,,,"['vrhunska kvaliteta', 'koži prijazen', 'za športnike']"
Želatina-PLUS® v prahu - Kolagen hidrolizat,Sanct Bernhard,500 g,18.99 €,20.99 €,-10%,"['66 % hidroliziran kolagen', 'odlična absorpcija', 'dodan vitamin C in minerali']"
Hladno / topli gel obkladek,WUNDmed,1 kos,3.99 €,,,"['medicinski pripomoček', 'za grelni ali hladilni obkladek', 'vsestransko uporaben']"
Magnezijev glicinat,Focus Supplements,180 kapsul,24.49 €,24.99 €,-2%,"['250 mg na 2 kapsuli', 'bioaktivna oblika magnezija', 'kosti, mišice, energija']"
Mumia (Shilajit),Dr. Popov,60 tablet,26.49 €,27.99 €,-5%,"['popolnoma naravna', 'ajurvedska dragocenost', '100 % smola brez dodatkov']"
Shape Control Garcinia cambogia + glukomanan,FutuNatura,180 kapsul,19.99 €,21.99 €,-9%,"['60 % HCA', 's kromom', 'izguba telesne teže']"
Glukozamin in hondroitin kompleks,WeightWorld,180 kapsul,21.99 €,,,"['za kosti', 'z vitaminom C', 'z MSM in hialuronsko kislino']"
Črna maca kompleks,Erefit®,200 kapsul,12.99 €,19.99 €,-35%,"['z aminokislinami in vitamini', 'podpora spolnosti in plodnosti', 'edinstvena formula']"
Kreatin monohidrat 3000 mg,WeightWorld,270 tablet,19.99 €,21.99 €,-9%,"['podpora pri telesnih naporih', 'telesna zmogljivost', '3000 mg v 3 tabletah']"
Elektroliti – šumeče tablete,Purely Nutrition,20 šumečih tablet,1.99 €,2.49 €,-20%,"['natrij + kalij + klorid', 'podpora hidracije', 'okus črnega ribeza']"
BIO riževi proteini,Dragon Superfoods,200 g,6.49 €,,,"['bogati z aminokislinami', 'visoka vsebnost beljakovin', 'dodatek smutijem, kašam, soku …']"
3x Magnezij Forte + B kompleks,FutuNatura,skupaj 90 tablet,23.99 €,32.97 €,-27%,"['več energije', 'veliko pakiranje', 'za mišice']"
3x Magnezijev glicinat 250 mg,HealthyWorld®,skupaj 540 kapsul,50.99 €,65.97 €,-23%,"['veliko pakiranje', '250 mg magnezija v 2 kapsulah', 'za energijo in delovanje mišic']"
